Rotation,PartGroup,Part_Number,Supplier,Location Pick,Model,Date,Time
0012,GROUP 09L,N1WB-16451-CB,ARK,PF-06,P703,30/01/2026,08:21:27
0012,GROUP 10,P1WB-E044D70-DE3BL8,SI,PX-SPECIAL,P703,30/01/2026,08:21:27
0012,GROUP 10,N1WB-E04652-PA3ZHE,SI,PJ-01-1,P703,30/01/2026,08:21:27
0012,GROUP 11,P1WB-E045B58-DE3BL8,SI,PX-SPECIAL,P703,30/01/2026,08:21:27
0013,GROUP 01,RB3T-14290-UVZC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:23:24
0013,GROUP 07,RB3T-14A005-VJLC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:23:24
0013,GROUP 01,P1VT-14630-UDD,SEWT,PA-12-2,U704,30/01/2026,08:23:24
0013,GROUP 01,P1VT-14631-UAD,SEWT,PA-14-4,U704,30/01/2026,08:23:24
0013,GROUP 01,P1VT-14632-KAE,SEWT,PA-18-1,U704,30/01/2026,08:23:24
0013,GROUP 01,P1VT-14633-KAE,SEWT,PA-19-1,U704,30/01/2026,08:23:24
0013,GROUP 02,RB3T-14405-VLC,SEWT,PB-34-2,U704,30/01/2026,08:23:24
0013,GROUP 02,PB3T-2B572-PXE,SEWT,PB-39-1,U704,30/01/2026,08:23:24
0013,LOT,MB3T-14301-AF,SEWT,LD-01,U704,30/01/2026,08:23:24
0013,LOT,PB3T-14B060-PXF,SEWT,LD-01,U704,30/01/2026,08:23:24
